word	sov
базар	0.00361682748127
буханка	0.00462333172511
винчестер	0.00483445462972
гнездо	0.00876809470604
голубой	0.00399229884798
гуманист	0.0
дурь	0.0027356378317
жесть	0.00189994628936
канал	0.00410333077923
карта	0.00707449581661
классный	0.000551969523424
климат	0.0222453394333
корочка	0.00198822043623
корпорация	0.00475689684891
крыша	0.0172161029174
лагерь	0.01395990579
левый	0.00846975414812
мерин	0.00330833503923
мышка	0.00328516959996
мышь	0.00968310496368
наезд	0.00960623390465
нелицеприятный	0.0
откровенный	0.00228392386213
пакет	0.00953354665715
парусиновый	0.000920683250757
платформа	0.00681913108224
подписчик	0.000891184102343
развод	0.00164391381398
раздача	0.00396236605112
сообщение	0.0107749316669
страница	0.00865556751247
стрелка	0.00683380486278
талон	0.0
товарищ	0.00764741109729
трико	0.000839036922148
тюфяк	0.0043478723815
убитый	0.00849158895764
ударник	0.1
узел	0.00690618383389
фрукт	0.00245905240906
хлопья	0.000857492774886
шляпка	0.000523270934868
артист	0.0121526761752
бархатный	0.0013173537176
беззаботный	0.00408074693241
безысходный	0.0033599957081
беспомощный	0.00786997488914
благодарность	0.0116325151757
бритый	0.00133434572569
бровь	0.00979384828582
брошюра	0.00702728940745
бумага	0.00313475741268
бурьян	0.000678518569392
вена	0.00256932469964
вечер	0.00314168859445
владение	0.0120748483486
возмущение	0.0073652561347
выгодный	0.00724719224294
выстрел	0.00739460376383
география	0.0063435675303
гипотеза	0.00864590879468
гнетущий	0.0043425048291
голубоглазый	0.00204588953921
гость	0.00947844337091
граница	0.0187281065176
гроб	0.00478628065321
девица	0.00549367582356
демонстрация	0.0104748639579
должный	0.016934751256
драматург	0.00341205964649
дрожь	0.00950219470087
жизнерадостный	0.00236305693305
жилистый	0.00253021417581
заметный	0.0093253055797
знакомый	0.0164983174402
идеализм	0.0018303341219
искусство	0.00604299976141
каморка	0.00754224117525
карета	0.00888100873332
кипа	0.00475067539999
коляска	0.00336216950651
композитор	0.00285573553764
концерт	0.00328822400345
конный	0.00292519961661
коренастый	0.00219429853665
кофе	0.00459570522668
кухня	0.00539384017434
лавка	0.00521635113759
ленточка	0.00174723859148
лето	0.00708453537067
луна	0.0118492303476
мармелад	0.000757826180117
морозный	0.00253746947243
мох	0.000724895043072
муж	0.00637341499797
небольшой	0.013358157893
невнятный	0.0065567319162
ненависть	0.00557639523768
необыкновенный	0.00645160416919
неодолимый	0.0103242197025
неприличный	0.0100787311658
обеспечение	0.00448311705135
обоснование	0.0038071727841
обычай	0.0125547103936
огненный	0.00317619607378
ожидание	0.0181807484808
омерзение	0.00247338376247
очерк	0.00963105300057
пальто	0.00267931236251
песнопение	0.00772605398591
пламень	0.000372133464819
платье	0.00568427532616
плеск	0.00305589297726
подоконник	0.00214036180169
пол	0.0249646125574
последствие	0.00321760558344
похороны	0.0102228861407
предисловие	0.00277710009156
приданое	0.00252179887709
приказание	0.00866595197546
прихожая	0.00608272126348
прозрачный	0.00217644797358
психический	0.00593553878306
пуля	0.00501154866757
радость	0.00297633712692
разный	0.0178698536909
религия	0.0018903854226
роза	0.00654884224119
рокот	0.00384049416303
ситцевый	0.00101022072545
сизый	0.000587007352576
скамейка	0.00724965233264
скверный	0.00484116322132
собственность	0.00582107488617
солдат	0.00508920974107
солома	0.00433007117242
сострадание	0.0025276073901
статный	0.00263898039468
стол	0.00601035081928
страх	0.00279793667808
стул	0.00591263110909
тахта	0.00884330090416
телега	0.00562192101605
теоретический	0.00232990907511
торговец	0.00740187839651
тоскливый	0.00655422075623
тревожный	0.00349543393871
трудный	0.00631026695859
тьма	0.0135551064094
убедительность	0.00302740603345
убеждение	0.00830637098605
убийство	0.0070928026367
удивление	0.010223617783
ужас	0.00488908728973
указ	0.0123902228954
унизительный	0.00645337366655
уплата	0.00400906399226
устав	0.00519476227892
усталость	0.00764813082572
утро	0.00519423474743
фигурка	0.00186683297283
хмурый	0.00568028123018
хохот	0.00276900097951
число	0.00762361062961
эвакуация	0.00182431938376
