word	1	2	3	4	5	6	7	8	9
базар	0.00215024412075	0.00114449101463	0.00118537842991	0.00203080691733	0.00110344883175	0.00127850661183	0.000842530123016	0.000643967146042	0.000821918866776
буханка	0.00117576652575	0.000953636832653	0.000446958942669	0.000674630663032	0.000682119654717	0.000272097669679	0.000357908598918	0.000341639084779	0.00036386736616
винчестер	0.000382456907475	0.00122264774331	0.000456027606457	0.00119451320905	0.00533201815369	0.00102107010248	0.000626678545777	0.000273271604845	0.000939272461326
гнездо	0.000505550319485	0.00561712816143	0.00211129083216	0.00373205169894	0.00119225414016	0.00106201749172	0.0016245345183	0.000594181355938	0.00170164273767
голубой	0.000841206840483	0.000543242215202	0.000750866904694	0.000469219232896	0.00039842933095	0.000895878808427	0.000592919700627	0.000376494970594	0.00102480051511
гуманист	0.0	0.000937386985105	0.000849317461434	0.000231701379047	0.000322245614068	0.000600857893375	0.000330512389208	0.000228213718361	0.000306960849065
дурь	0.000778337687967	0.000417629420924	0.000854660897962	0.000826295179035	0.00075132484153	0.00063503752159	0.00130763997907	0.00137166949947	0.00104411135746
жесть	0.00030634866399	0.000364953642779	0.000255706331971	0.000372678777818	0.000471565859991	0.000221542804858	0.00022784394228	0.000211977013965	0.000214266013399
канал	0.00104744104774	0.00100704462164	0.00224023374403	0.000913909410414	0.00190063279801	0.00146309282485	0.00111761005795	0.00261567552899	0.00307587072902
карта	0.00858899569154	0.0115081938229	0.00607311600653	0.0040382414189	0.0031812830215	0.00410969567526	0.00203871360217	0.00416122379742	0.00175019912921
классный	0.00242806571873	0.00314219559599	0.00206447056518	0.00202997851638	0.000990778989474	0.00227047494984	0.000944194050661	0.00116800194484	0.00311223684481
климат	0.00274475600905	0.000649811215581	0.00391109111385	0.00147283994595	0.00164362871682	0.00133617503242	0.00207421001414	0.000976023661983	0.00457721993336
корочка	0.000269385783279	0.000351965928145	0.000247816832063	0.000404178651579	0.000191232593593	0.000379529671607	0.000214148054167	0.000200875304774	0.000179463113902
корпорация	0.000765381028269	0.000717664851866	0.00143594154823	0.000199107464042	0.000455578529071	0.000990030524954	0.00181096620474	0.00413886595437	0.00148134907919
крыша	0.00209249709105	0.00142946523176	0.00147967229718	0.000930999262287	0.000899869311361	0.00103499234625	0.000941916359767	0.00115075026493	0.00173678445853
лагерь	0.00355014411052	0.00281813073407	0.00296307826587	0.00340931624921	0.0106230120813	0.00208376145226	0.00268361764063	0.00279464913711	0.00371576206773
